,pressure,temperature,e-,H2,H,H+,H-,H2-,H2+,H3+,He,H2O,CH4,CO,NH3,N2,PH3,H2S,TiO,VO,Fe,FeH,CrH,Na,K,Rb,Cs,CO2,HCN,C2H2,C2H4,C2H6,SiO,MgH,OCS,Li,LiOH,LiH,LiCl,LiF
58,0.14307229891937587,200.3369095380528,4.505026690767929e-38,0.8371018398622118,4.505026690767929e-38,4.505026690767929e-38,4.505026690767929e-38,4.505026690767929e-38,4.505026690767929e-38,4.505026690767929e-38,0.16256976197332842,1.1791600206541724e-05,0.00015229976197284655,4.505026690767929e-38,0.00013731314507490388,6.33562843017123e-20,4.505026690767929e-38,2.541529070839516e-05,4.505026690767929e-38,4.505026690767929e-38,4.505026690767929e-38,4.505026690767929e-38,4.505026690767929e-38,4.505026690767929e-38,4.505026690767929e-38,4.505026690767929e-38,4.505026690767929e-38,4.505026690767929e-38,4.004495239493475e-38,4.505026690767929e-38,4.505026690767929e-38,4.505026690767929e-38,4.505026690767929e-38,4.505026690767929e-38,4.505026690767929e-38,4.505026690767929e-38,4.505026690767929e-38,4.505026690767929e-38,4.505026690767929e-38,4.505026690767929e-38
59,0.17556762912750015,205.29630023885375,4.5049706352357745e-38,0.8370863616676258,4.5049706352357745e-38,4.5049706352357745e-38,4.5049706352357745e-38,4.5049706352357745e-38,4.5049706352357745e-38,4.5049706352357745e-38,0.16256735792625973,2.0229530220918545e-05,0.0001522973579222278,4.5049706352357745e-38,0.000137312347619844,1.5010805801717016e-19,4.5049706352357745e-38,2.5414970557331658e-05,4.5049706352357745e-38,4.5049706352357745e-38,4.5049706352357745e-38,4.5049706352357745e-38,4.5049706352357745e-38,4.5049706352357745e-38,4.5049706352357745e-38,4.5049706352357745e-38,4.5049706352357745e-38,4.5049706352357745e-38,4.004447158750091e-38,4.5049706352357745e-38,4.5049706352357745e-38,4.5049706352357745e-38,4.5049706352357745e-38,4.5049706352357745e-38,4.5049706352357745e-38,4.5049706352357745e-38,4.5049706352357745e-38,4.5049706352357745e-38,4.5049706352357745e-38,4.5049706352357745e-38
60,0.21544346900318867,210.9247465277612,4.504893345667093e-38,0.8370699244356881,4.504893345667093e-38,4.504893345667093e-38,4.504893345667093e-38,4.504893345667093e-38,4.504893345667093e-38,4.504893345667093e-38,0.16256544027085032,3.677857385953899e-05,0.00015229544025846845,4.504893345667093e-38,0.0001373084539990863,3.9313993500011203e-19,4.504893345667093e-38,2.541451496133638e-05,4.504893345667093e-38,4.504893345667093e-38,4.504893345667093e-38,4.504893345667093e-38,4.504893345667093e-38,4.504893345667093e-38,4.504893345667093e-38,4.504893345667093e-38,4.504893345667093e-38,4.504893345667093e-38,4.004396252563152e-38,4.504893345667093e-38,4.504893345667093e-38,4.504893345667093e-38,4.504893345667093e-38,4.504893345667093e-38,4.504893345667093e-38,4.504893345667093e-38,4.504893345667093e-38,4.504893345667093e-38,4.504893345667093e-38,4.504893345667093e-38
61,0.2643761185749101,217.64406084325222,4.504691830671079e-38,0.8370369821878267,4.504691830671079e-38,4.504691830671079e-38,4.504691830671079e-38,4.504691830671079e-38,4.504691830671079e-38,4.504691830671079e-38,0.1625593441170546,7.39818435895068e-05,0.00015228934409637033,4.504691830671079e-38,0.000137300494842959,1.2321182887883224e-18,4.504691830671079e-38,2.5413845503903756e-05,4.504691830671079e-38,4.504691830671079e-38,4.504691830671079e-38,4.504691830671079e-38,4.504691830671079e-38,4.504691830671079e-38,4.504691830671079e-38,4.504691830671079e-38,4.504691830671079e-38,4.504691830671079e-38,4.0042007219841864e-38,4.504691830671079e-38,4.504691830671079e-38,4.504691830671079e-38,4.504691830671079e-38,4.504691830671079e-38,4.504691830671079e-38,4.504691830671079e-38,4.504691830671079e-38,4.504691830671079e-38,4.504691830671079e-38,4.504691830671079e-38
62,0.324422607917163,226.4548846319997,4.504155015269725e-38,0.8369307788739473,4.504155015269725e-38,4.504155015269725e-38,4.504155015269725e-38,4.504155015269725e-38,4.504155015269725e-38,4.504155015269725e-38,0.16254183389922752,0.00018175484942988115,0.0001522718338527704,4.504155015269725e-38,0.00013728183377248598,5.481638712335848e-18,4.504155015269725e-38,2.5410433887284478e-05,4.504155015269725e-38,4.504155015269725e-38,4.504155015269725e-38,4.504155015269725e-38,4.504155015269725e-38,4.504155015269725e-38,4.504155015269725e-38,4.504155015269725e-38,4.504155015269725e-38,1.1806058554770359e-37,4.0036527740953713e-38,4.504155015269725e-38,4.504155015269725e-38,4.504155015269725e-38,4.504155015269725e-38,4.504155015269725e-38,4.504155015269725e-38,4.504155015269725e-38,4.504155015269725e-38,4.504155015269725e-38,4.504155015269725e-38,4.504155015269725e-38
63,0.39810717055349776,238.94494204459005,4.501917929939657e-38,0.8365110808751021,4.501917929939657e-38,4.501917929939657e-38,4.501917929939657e-38,4.501917929939657e-38,4.501917929939657e-38,4.501917929939657e-38,0.16246197843525992,0.0006155653426323842,0.0001521919779642846,4.501917929939657e-38,0.000137217836641088,4.2940537274310836e-17,4.501917929939657e-38,2.5398043635526825e-05,4.501917929939657e-38,4.501917929939657e-38,4.501917929939657e-38,4.501917929939657e-38,4.501917929939657e-38,4.501917929939657e-38,4.501917929939657e-38,4.501917929939657e-38,4.501917929939657e-38,2.9768269275278964e-36,4.0016928850458986e-38,4.501917929939657e-38,4.501917929939657e-38,4.501917929939657e-38,4.501917929939657e-38,4.501917929939657e-38,4.501917929939657e-38,4.501917929939657e-38,4.501917929939657e-38,4.501917929939657e-38,4.501917929939657e-38,4.501917929939657e-38
64,0.4885273571519392,256.4470633899812,4.500238433206904e-38,0.8362034791280087,4.500238433206904e-38,4.500238433206904e-38,4.500238433206904e-38,4.500238433206904e-38,4.500238433206904e-38,4.500238433206904e-38,0.1623984153196607,0.0010719878070123165,0.00015213841522954767,3.337147739757702e-37,0.0001371670127812804,6.194315542846492e-16,1.7985101883977153e-37,2.5388262306068967e-05,4.500238433206904e-38,4.500238433206904e-38,4.500238433206904e-38,4.500238433206904e-38,4.500238433206904e-38,4.500238433206904e-38,4.500238433206904e-38,4.500238433206904e-38,4.500238433206904e-38,5.111559180225923e-34,4.0002103824925705e-38,4.500238433206904e-38,4.500238433206904e-38,4.500238433206904e-38,4.500238433206904e-38,4.500238433206904e-38,4.500238433206904e-38,4.500238433206904e-38,4.500238433206904e-38,4.500238433206904e-38,4.500238433206904e-38,4.500238433206904e-38
65,0.5994842503189409,276.8781281794912,4.5000000000000027e-38,0.83616,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,0.16239,0.0011318999999999997,0.0001521299999999998,1.919669316009266e-34,0.00013716000000000002,9.407055087134529e-15,1.1361060070244527e-34,2.538699999999998e-05,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,9.617802029472907e-32,4.000000000000001e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38
66,0.7356422544596422,300.6138241549839,4.5000000000000027e-38,0.83616,5.351435590804485e-36,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,0.16239,0.0011318999999999997,0.0001521300000000001,1.4639260852859598e-31,0.00013716000000000018,1.4380832280755053e-13,1.1223160833774799e-31,2.538699999999998e-05,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,1.7866007431563773e-29,4.000000000000001e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,2.1598373970864644e-36,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38
67,0.9027251779484579,329.05630389688787,4.5000000000000027e-38,0.83616,9.112917423857566e-33,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,0.16239,0.0011319000000000008,0.00015212999999999997,1.23383044256243e-28,0.00013716000000000002,2.348025978312414e-12,1.1394735970933167e-28,2.5387000000000033e-05,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,3.6363972965513826e-27,8.5783078617306e-37,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,1.2685504570588389e-33,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38,4.5000000000000027e-38
