lambda (um),flam at wd surface (erg/cm^2/s/A)
0.007638,1.7325843814300728e-85
0.007714,1.6489020394031857e-85
0.007791,1.5690131669266056e-85
0.007869,1.49277559772856e-85
0.007948,1.4200506179683434e-85
0.008027,1.35153481604367e-85
0.008108,1.2853564177511917e-85
0.008188,1.2237826028117784e-85
0.008271,1.1636005394936137e-85
0.008353,1.1075954742194683e-85
0.008437,1.0535443755201611e-85
0.008521,1.0026251424090488e-85
0.008607,9.535269190046459e-86
0.008692,9.078082490816611e-86
0.00878,8.632165969573804e-86
0.008867,8.216917655058222e-86
0.008956,7.816683849240994e-86
0.009045,7.43962453019989e-86
0.009136,7.076399963672682e-86
0.009227,6.734238203048904e-86
0.00932,6.40492337051669e-86
0.009412,6.097949608308742e-86
0.009507,5.799309910459743e-86
0.009602,5.518019047649533e-86
0.009698,5.2502629667073465e-86
0.009795,4.995406930988925e-86
0.009893,4.752840560847351e-86
0.009991,4.524274590882485e-86
0.010092,4.302354409274587e-86
0.010192,4.0953927529639655e-86
0.010295,3.8945914910023026e-86
0.010397,3.707281234362486e-86
0.010502,3.525608293665431e-85
0.010606,3.356100172087639e-85
0.010713,3.191812620733758e-85
0.010819,3.0384907909294704e-85
0.010928,2.889937113952114e-85
0.011037,2.7500312933818157e-85
0.011148,2.615819822020679e-85
0.011259,2.4893853701254286e-85
0.011372,2.3681446698681548e-85
0.011485,2.2539208414550512e-85
0.0116,2.1443915959860334e-85
0.011716,2.0403093495608807e-85
0.011833,1.9414232825247204e-85
0.011951,1.8474385619314095e-85
0.012071,1.7574245087555227e-85
0.012191,1.6726154113912556e-85
0.012314,1.5907329291283708e-85
0.012436,1.5142226126614232e-85
0.012561,1.4403629438593684e-85
0.012686,1.370784940454431e-85
0.012814,1.303676617900896e-85
0.012941,1.2409481039796618e-85
0.013071,1.1804531389144218e-85
0.013202,1.1230378836908299e-85
0.013334,1.0685394549199517e-85
0.013467,1.0168081714430459e-85
0.013602,9.673418600007374e-86
0.013738,9.203965019259872e-86
0.013876,8.755316732713143e-86
0.014014,8.332623314719852e-86
0.014154,7.928598004286921e-86
0.014225,7.732712596189601e-86
0.014295,7.545226295946123e-86
0.014438,7.178900509932535e-86
0.014583,6.82902091573785e-86
0.014729,5.877862452675122e-86
0.014876,5.863788228162131e-86
0.015025,5.761914787655423e-85
0.015175,5.491828875499284e-84
0.015251,1.691958290583835e-83
0.015327,5.1541563942958165e-83
0.01548,4.6934944246193347e-82
0.015557,1.4030813630775288e-81
0.015635,4.2074270844157067e-81
0.015791,3.660902170843738e-80
0.01587,1.0771378433879144e-79
0.015949,3.135138895963878e-79
0.016029,9.149559736433046e-79
0.016108,2.6070141457447834e-78
0.016189,7.546341714207609e-78
0.016269,2.133371626264175e-77
0.016351,6.124105298808027e-77
0.016432,1.7174753804909867e-76
0.016514,4.827715660159057e-76
0.016596,1.3430838502959774e-75
0.016679,3.744390672172672e-75
0.016762,1.0332233272803657e-74
0.01693,7.817263642264944e-74
0.017099,5.747907827443431e-73
0.017185,1.5624377360313718e-72
0.01727,4.1566435178570286e-72
0.017443,2.9557633812140574e-71
0.017618,2.066354901766387e-70
0.017794,1.4047505511285535e-69
0.017883,3.649304947712389e-69
0.017972,9.389821108847545e-69
0.018061,2.393361776313029e-68
0.018151,6.10688875928696e-68
0.018242,1.55960905882593e-67
0.018333,3.945606158192194e-67
0.018516,2.4807735900897766e-66
0.018609,6.226858210262185e-66
0.018701,1.533518202362662e-65
0.018888,9.319213162118841e-65
0.018983,2.2988659309821636e-64
0.019077,5.567062273441373e-64
0.019173,1.3613370446009937e-63
0.019268,3.268900685580072e-63
0.019364,7.852264911947353e-63
0.019461,1.8866298613773164e-62
0.019558,4.493090624160138e-62
0.019655,1.0607914640209794e-61
0.019852,5.915116539554881e-61
0.02005,3.214335991242313e-60
0.020251,1.7315681027063559e-59
0.020453,9.093541205188727e-59
0.020658,4.7326632348420065e-58
0.020761,1.0705816313898274e-57
0.020865,2.4208567795772965e-57
0.020969,5.429383240858217e-57
0.021073,1.207863769859656e-56
0.021284,5.970046035187005e-56
0.021497,2.900586110013663e-55
0.021604,6.341059668454059e-55
0.021712,1.3853674909918512e-54
0.02182,3.002996807791026e-54
