lambda (um),fnu (uJy),flamb (erg/cm^2/s/A),flamb (erg/cm^2/s/cm),fnu (Jy)
0.407028,158.483,2.867839317895192e-16,2.8678393178951916e-08,0.000158483
0.407038,158.505,2.8680964898716204e-16,2.86809648987162e-08,0.000158505
0.407048,158.527,2.868353633114719e-16,2.8683536331147188e-08,0.00015852699999999997
0.407058,158.549,2.8686107476277946e-16,2.868610747627794e-08,0.000158549
0.407068,158.57,2.868849741405941e-16,2.8688497414059405e-08,0.00015857
0.407078,158.593,2.8691248904770813e-16,2.8691248904770807e-08,0.00015859299999999998
0.407088,158.615,2.8693819188199e-16,2.8693819188198995e-08,0.000158615
0.407098,158.636,2.8696208291040834e-16,2.869620829104083e-08,0.00015863599999999998
0.407108,158.659,2.8698958893583973e-16,2.869895889358397e-08,0.000158659
0.407118,158.68,2.8701347439961223e-16,2.870134743996122e-08,0.00015868
0.407128,158.702,2.870391658380028e-16,2.8703916583800273e-08,0.00015870199999999999
0.407138,158.724,2.870648544060259e-16,2.8706485440602586e-08,0.00015872399999999998
0.407148,158.746,2.8709054010401156e-16,2.870905401040115e-08,0.000158746
0.407158,158.767,2.8711441453120796e-16,2.871144145312079e-08,0.00015876699999999998
0.407168,158.79,2.871419028911903e-16,2.8714190289119022e-08,0.00015879
0.407178,158.811,2.8716577175760913e-16,2.8716577175760907e-08,0.000158811
0.407188,158.833,2.871914460675581e-16,2.8719144606755806e-08,0.000158833
0.407198,158.856,2.872189255549247e-16,2.8721892555492465e-08,0.000158856
0.407208,158.877,2.8724278608260174e-16,2.8724278608260172e-08,0.000158877
0.407218,158.899,2.8726845178835587e-16,2.872684517883558e-08,0.000158899
0.407228,158.921,2.8729411462670444e-16,2.872941146267044e-08,0.000158921
0.407238,158.943,2.87319774597977e-16,2.8731977459797695e-08,0.000158943
0.407248,158.964,2.8734362410063037e-16,2.8734362410063033e-08,0.000158964
0.407258,158.987,2.873710859406123e-16,2.8737108594061223e-08,0.000158987
0.407268,159.008,2.873949298882914e-16,2.8739492988829136e-08,0.000159008
0.407278,159.03,2.874205784833104e-16,2.8742057848331037e-08,0.00015903
0.407288,159.053,2.874480314597331e-16,2.8744803145973304e-08,0.00015905299999999998
0.407298,159.074,2.8747186707737233e-16,2.874718670773723e-08,0.00015907400000000002
0.407308,159.096,2.8749750707707376e-16,2.8749750707707372e-08,0.000159096
0.407318,159.118,2.87523144212328e-16,2.87523144212328e-08,0.00015911799999999998
0.407328,159.14,2.875487784834642e-16,2.8754877848346416e-08,0.00015913999999999997
