lambda (um),fnu (uJy),flamb (erg/cm^2/s/A),flamb (erg/cm^2/s/cm),fnu (Jy)
0.118002,8.11387e-07,1.7469079118358655e-23,1.7469079118358653e-15,8.11387e-13
0.118004,8.11754e-07,1.7476388175902888e-23,1.7476388175902886e-15,8.117539999999999e-13
0.118006,8.12122e-07,1.748371825634956e-23,1.7483718256349556e-15,8.121219999999999e-13
0.118008,8.12488e-07,1.749100477442299e-23,1.7491004774422986e-15,8.12488e-13
0.11801,8.12856e-07,1.749833384245522e-23,1.7498333842455217e-15,8.12856e-13
0.118012,8.13224e-07,1.750566240360885e-23,1.7505662403608846e-15,8.13224e-13
0.118014,8.13592e-07,1.75129904579228e-23,1.7512990457922797e-15,8.13592e-13
0.118016,8.1396e-07,1.7520318005435945e-23,1.7520318005435943e-15,8.1396e-13
0.118018,8.14328e-07,1.7527645046187217e-23,1.7527645046187215e-15,8.14328e-13
0.11802,8.14696e-07,1.7534971580215512e-23,1.753497158021551e-15,8.14696e-13
0.118022,8.15064e-07,1.7542297607559724e-23,1.754229760755972e-15,8.150639999999999e-13
0.118024,8.15434e-07,1.754966617200274e-23,1.7549666172002737e-15,8.15434e-13
0.118026,8.15802e-07,1.7556991184636678e-23,1.7556991184636674e-15,8.15802e-13
0.118028,8.16171e-07,1.7564337211116536e-23,1.7564337211116533e-15,8.161709999999999e-13
0.11803,8.16541e-07,1.7571704249293252e-23,1.757170424929325e-15,8.165409999999999e-13
0.118032,8.16909e-07,1.7579027740153982e-23,1.757902774015398e-15,8.169089999999999e-13
0.118034,8.17278e-07,1.7586372242789547e-23,1.7586372242789543e-15,8.17278e-13
0.118036,8.17648e-07,1.7593737755051204e-23,1.7593737755051202e-15,8.176479999999999e-13
0.118038,8.18017e-07,1.760108124125633e-23,1.7601081241256325e-15,8.18017e-13
0.11804,8.18388e-07,1.7608467251745185e-23,1.7608467251745183e-15,8.18388e-13
0.118042,8.18758e-07,1.761583123625568e-23,1.7615831236255676e-15,8.18758e-13
0.118044,8.19127e-07,1.7623173197014144e-23,1.762317319701414e-15,8.191269999999999e-13
0.118046,8.19498e-07,1.763055767779904e-23,1.7630557677799039e-15,8.194979999999999e-13
0.118048,8.19868e-07,1.763792013491007e-23,1.7637920134910068e-15,8.19868e-13
0.11805,8.20239e-07,1.7645303595358939e-23,1.7645303595358936e-15,8.20239e-13
0.118052,8.2061e-07,1.765268654533405e-23,1.7652686545334048e-15,8.2061e-13
0.118054,8.20981e-07,1.766006898487458e-23,1.7660068984874577e-15,8.209809999999999e-13
0.118056,8.21352e-07,1.7667450914019702e-23,1.76674509140197e-15,8.21352e-13
0.118058,8.21723e-07,1.767483233280858e-23,1.7674832332808578e-15,8.21723e-13
0.11806,8.22094e-07,1.7682213241280375e-23,1.7682213241280373e-15,8.22094e-13
0.118062,8.22467e-07,1.7689636655514166e-23,1.7689636655514163e-15,8.22467e-13
0.118064,8.22838e-07,1.76970165420119e-23,1.7697016542011898e-15,8.228379999999999e-13
0.118066,8.2321e-07,1.7704417424872734e-23,1.770441742487273e-15,8.2321e-13
0.118068,8.23582e-07,1.771181779611595e-23,1.7711817796115947e-15,8.23582e-13
0.11807,8.23954e-07,1.7719217655780814e-23,1.7719217655780811e-15,8.239539999999999e-13
0.118072,8.24327e-07,1.772663850828349e-23,1.7726638508283487e-15,8.24327e-13
0.118074,8.24699e-07,1.7734037344180897e-23,1.7734037344180894e-15,8.246989999999999e-13
0.118076,8.25072e-07,1.774145717153769e-23,1.7741457171537686e-15,8.25072e-13
0.118078,8.25444e-07,1.774885498382477e-23,1.7748854983824768e-15,8.25444e-13
0.11808,8.25817e-07,1.7756273786192942e-23,1.775627378619294e-15,8.25817e-13
0.118082,8.2619e-07,1.776369207576159e-23,1.7763692075761585e-15,8.261899999999999e-13
0.118084,8.26564e-07,1.7771131352576544e-23,1.7771131352576542e-15,8.26564e-13
0.118086,8.26936e-07,1.7778527116657707e-23,1.7778527116657703e-15,8.26936e-13
0.118088,8.2731e-07,1.778596536661379e-23,1.7785965366613785e-15,8.273099999999999e-13
0.11809,8.27685e-07,1.779342460029306e-23,1.7793424600293056e-15,8.27685e-13
0.118092,8.28059e-07,1.780086182136327e-23,1.780086182136327e-15,8.280589999999999e-13
0.118094,8.28433e-07,1.7808298528413814e-23,1.7808298528413813e-15,8.284330000000001e-13
0.118096,8.28807e-07,1.781573472148412e-23,1.781573472148412e-15,8.28807e-13
0.118098,8.29181e-07,1.7823170400613627e-23,1.7823170400613626e-15,8.29181e-13
0.1181,8.29555e-07,1.7830605565841753e-23,1.7830605565841752e-15,8.29555e-13
0.118102,8.29931e-07,1.783808320411455e-23,1.783808320411455e-15,8.29931e-13
0.118104,8.30305e-07,1.7845517340202286e-23,1.7845517340202283e-15,8.30305e-13
0.118106,8.3068e-07,1.785297245450443e-23,1.785297245450443e-15,8.3068e-13
0.118108,8.31055e-07,1.786042705360719e-23,1.786042705360719e-15,8.310549999999999e-13
0.11811,8.3143e-07,1.786788113755009e-23,1.7867881137550086e-15,8.314299999999999e-13
0.118112,8.31806e-07,1.7875356196186613e-23,1.787535619618661e-15,8.31806e-13
0.118114,8.32181e-07,1.788280924920056e-23,1.788280924920056e-15,8.321809999999999e-13
0.118116,8.32557e-07,1.7890283275531695e-23,1.7890283275531693e-15,8.325569999999999e-13
0.118118,8.32933e-07,1.7897756785405672e-23,1.7897756785405668e-15,8.329329999999999e-13
0.11812,8.3331e-07,1.790525126576525e-23,1.7905251265765247e-15,8.333099999999999e-13
0.118122,8.33686e-07,1.791272374211612e-23,1.7912723742116116e-15,8.33686e-13
0.118124,8.34063e-07,1.7920217187576654e-23,1.792021718757665e-15,8.34063e-13
0.118126,8.34438e-07,1.7927667145842552e-23,1.792766714584255e-15,8.34438e-13
0.118128,8.34815e-07,1.793515955729024e-23,1.7935159557290238e-15,8.34815e-13
0.11813,8.35193e-07,1.794267293432895e-23,1.7942672934328946e-15,8.351929999999999e-13
0.118132,8.3557e-07,1.7950164309740027e-23,1.7950164309740026e-15,8.355699999999999e-13
0.118134,8.35947e-07,1.7957655167556093e-23,1.795765516755609e-15,8.35947e-13
0.118136,8.36324e-07,1.7965145507816848e-23,1.7965145507816847e-15,8.363239999999999e-13
0.118138,8.36701e-07,1.7972635330561983e-23,1.797263533056198e-15,8.367009999999999e-13
0.11814,8.3708e-07,1.7980167595088592e-23,1.798016759508859e-15,8.370799999999999e-13
0.118142,8.37457e-07,1.7987656381467038e-23,1.7987656381467037e-15,8.374569999999999e-13
0.118144,8.37836e-07,1.7995187606797502e-23,1.79951876067975e-15,8.378359999999999e-13
0.118146,8.38213e-07,1.8002675356968286e-23,1.8002675356968285e-15,8.382129999999999e-13
0.118148,8.38592e-07,1.8010205543261907e-23,1.8010205543261902e-15,8.38592e-13
0.11815,8.3897e-07,1.8017713733376867e-23,1.8017713733376865e-15,8.389699999999999e-13
0.118152,8.39349e-07,1.802524288006585e-23,1.8025242880065847e-15,8.39349e-13
0.118154,8.39728e-07,1.8032771506648764e-23,1.803277150664876e-15,8.39728e-13
0.118156,8.40106e-07,1.8040278139353695e-23,1.8040278139353693e-15,8.40106e-13
0.118158,8.40485e-07,1.8047805726571072e-23,1.8047805726571068e-15,8.40485e-13
0.11816,8.40865e-07,1.8055354266159907e-23,1.8055354266159904e-15,8.408649999999999e-13
0.118162,8.41244e-07,1.8062880812717334e-23,1.8062880812717333e-15,8.41244e-13
0.118164,8.41624e-07,1.8070428310272298e-23,1.8070428310272296e-15,8.41624e-13
0.118166,8.42003e-07,1.8077953816329374e-23,1.8077953816329373e-15,8.42003e-13
0.118168,8.42383e-07,1.8085500272010182e-23,1.808550027201018e-15,8.42383e-13
0.11817,8.42763e-07,1.809304620645044e-23,1.8093046206450437e-15,8.427630000000001e-13
0.118172,8.43144e-07,1.810061308768738e-23,1.810061308768738e-15,8.43144e-13
0.118174,8.43524e-07,1.810815797903977e-23,1.810815797903977e-15,8.435239999999999e-13
0.118176,8.43904e-07,1.8115702349271528e-23,1.8115702349271526e-15,8.43904e-13
0.118178,8.44286e-07,1.8123289130057445e-23,1.812328913005744e-15,8.44286e-13
0.11818,8.44666e-07,1.8130832456714683e-23,1.8130832456714682e-15,8.446659999999999e-13
0.118182,8.45048e-07,1.8138418191099956e-23,1.8138418191099953e-15,8.45048e-13
0.118184,8.45428e-07,1.814596047434275e-23,1.8145960474342747e-15,8.45428e-13
0.118186,8.4581e-07,1.8153545162487724e-23,1.815354516248772e-15,8.458099999999999e-13
0.118188,8.46191e-07,1.8161107864661186e-23,1.8161107864661182e-15,8.461909999999999e-13
0.11819,8.46573e-07,1.816869150599983e-23,1.8168691505999828e-15,8.465729999999999e-13
0.118192,8.46955e-07,1.817627462363231e-23,1.8176274623632304e-15,8.46955e-13
0.118194,8.47337e-07,1.818385721759877e-23,1.818385721759877e-15,8.47337e-13
0.118196,8.47718e-07,1.8191417828659457e-23,1.8191417828659454e-15,8.47718e-13
0.118198,8.48102e-07,1.8199042293247855e-23,1.8199042293247854e-15,8.48102e-13
0.1182,8.48483e-07,1.820660185790338e-23,1.820660185790338e-15,8.48483e-13
0.118202,8.48867e-07,1.8214225271809854e-23,1.8214225271809853e-15,8.48867e-13
0.118204,8.4925e-07,1.8221826702971284e-23,1.8221826702971283e-15,8.492499999999999e-13
0.118206,8.49632e-07,1.8229406153606205e-23,1.82294061536062e-15,8.49632e-13
0.118208,8.50015e-07,1.8237006535779304e-23,1.8237006535779302e-15,8.50015e-13
0.11821,8.50398e-07,1.8244606393155516e-23,1.8244606393155515e-15,8.503979999999999e-13
0.118212,8.50782e-07,1.8252227179246317e-23,1.8252227179246316e-15,8.50782e-13
0.118214,8.51166e-07,1.825984743916884e-23,1.8259847439168838e-15,8.51166e-13
0.118216,8.5155e-07,1.8267467172963417e-23,1.8267467172963415e-15,8.515499999999999e-13
0.118218,8.51933e-07,1.8275064929376742e-23,1.827506492937674e-15,8.51933e-13
0.11822,8.52318e-07,1.8282705062329997e-23,1.8282705062329994e-15,8.52318e-13
0.118222,8.52701e-07,1.829030176814057e-23,1.8290301768140567e-15,8.52701e-13
0.118224,8.53086e-07,1.8297940847668552e-23,1.829794084766855e-15,8.53086e-13
0.118226,8.53471e-07,1.8305579399818725e-23,1.8305579399818723e-15,8.53471e-13
0.118228,8.53855e-07,1.831319597696652e-23,1.8313195976966516e-15,8.53855e-13
0.11823,8.5424e-07,1.8320833475207912e-23,1.832083347520791e-15,8.542399999999999e-13
0.118232,8.54625e-07,1.832847044619268e-23,1.8328470446192677e-15,8.546249999999999e-13
0.118234,8.5501e-07,1.8336106889961212e-23,1.833610688996121e-15,8.5501e-13
0.118236,8.55396e-07,1.8343764251316652e-23,1.8343764251316647e-15,8.55396e-13
0.118238,8.55781e-07,1.8351399640048454e-23,1.835139964004845e-15,8.55781e-13
0.11824,8.56167e-07,1.8359055944997053e-23,1.835905594499705e-15,8.56167e-13
0.118242,8.56553e-07,1.8366711721440237e-23,1.8366711721440235e-15,8.565529999999999e-13
0.118244,8.56938e-07,1.8374345527557445e-23,1.8374345527557443e-15,8.569379999999999e-13
0.118246,8.57325e-07,1.838202168897232e-23,1.8382021688972318e-15,8.57325e-13
0.118248,8.57711e-07,1.8389675880142185e-23,1.8389675880142182e-15,8.577110000000001e-13
0.11825,8.58097e-07,1.8397329542968576e-23,1.8397329542968574e-15,8.580969999999999e-13
0.118252,8.58485e-07,1.8405025555411934e-23,1.840502555541193e-15,8.58485e-13
0.118254,8.58871e-07,1.841267816022246e-23,1.8412678160222454e-15,8.588709999999999e-13
0.118256,8.59258e-07,1.842035167432067e-23,1.8420351674320668e-15,8.59258e-13
0.118258,8.59646e-07,1.842804609557172e-23,1.8428046095571716e-15,8.59646e-13
0.11826,8.60033e-07,1.8435718549722e-23,1.8435718549721995e-15,8.600329999999999e-13
0.118262,8.6042e-07,1.844339047432175e-23,1.8443390474321746e-15,8.6042e-13
0.118264,8.60808e-07,1.8451083304021e-23,1.8451083304020998e-15,8.608079999999999e-13
0.118266,8.61196e-07,1.8458775602800924e-23,1.845877560280092e-15,8.611959999999999e-13
0.118268,8.61583e-07,1.846644593754261e-23,1.8466445937542608e-15,8.61583e-13
0.11827,8.61971e-07,1.8474137175330788e-23,1.8474137175330784e-15,8.61971e-13
0.118272,8.62361e-07,1.8481870745741322e-23,1.8481870745741318e-15,8.623609999999999e-13
0.118274,8.62748e-07,1.8489539489540768e-23,1.8489539489540764e-15,8.627479999999999e-13
0.118276,8.63138e-07,1.8497271994854622e-23,1.849727199485462e-15,8.63138e-13
0.118278,8.63526e-07,1.8504961107523087e-23,1.8504961107523085e-15,8.63526e-13
0.11828,8.63915e-07,1.851267111836776e-23,1.8512671118367758e-15,8.63915e-13
0.118282,8.64304e-07,1.8520380597169109e-23,1.8520380597169105e-15,8.643039999999999e-13
0.118284,8.64694e-07,1.8528110971329446e-23,1.8528110971329442e-15,8.64694e-13
0.118286,8.65083e-07,1.8535819385441813e-23,1.853581938544181e-15,8.65083e-13
0.118288,8.65473e-07,1.8543548693545553e-23,1.854354869354555e-15,8.65473e-13
0.11829,8.65862e-07,1.855125604313206e-23,1.8551256043132057e-15,8.65862e-13
0.118292,8.66251e-07,1.8558962860879048e-23,1.8558962860879046e-15,8.662509999999999e-13
0.118294,8.66642e-07,1.8566711994305176e-23,1.8566711994305174e-15,8.66642e-13
0.118296,8.67032e-07,1.857443917006104e-23,1.8574439170061038e-15,8.670319999999999e-13
0.118298,8.67423e-07,1.8582187234941102e-23,1.8582187234941098e-15,8.67423e-13
0.1183,8.67813e-07,1.858991334368145e-23,1.8589913343681445e-15,8.678129999999999e-13
0.118302,8.68204e-07,1.8597660340179057e-23,1.8597660340179054e-15,8.68204e-13
0.118304,8.68595e-07,1.8605406802184655e-23,1.860540680218465e-15,8.68595e-13
0.118306,8.68986e-07,1.861315272973917e-23,1.861315272973917e-15,8.689859999999999e-13
0.118308,8.69377e-07,1.862089812288354e-23,1.8620898122883536e-15,8.69377e-13
0.11831,8.69768e-07,1.8628642981658677e-23,1.8628642981658673e-15,8.697679999999999e-13
0.118312,8.7016e-07,1.8636408723326152e-23,1.863640872332615e-15,8.7016e-13
0.118314,8.70551e-07,1.8644152512761504e-23,1.8644152512761502e-15,8.705509999999999e-13
0.118316,8.70944e-07,1.8651938599495498e-23,1.8651938599495495e-15,8.70944e-13
0.118318,8.71336e-07,1.86597027340794e-23,1.8659702734079396e-15,8.713359999999999e-13
0.11832,8.71727e-07,1.866744491872624e-23,1.8667444918726237e-15,8.717269999999999e-13
0.118322,8.72119e-07,1.86752079828501e-23,1.86752079828501e-15,8.72119e-13
0.118324,8.72512e-07,1.868299192432021e-23,1.868299192432021e-15,8.72512e-13
0.118326,8.72906e-07,1.8690796741006004e-23,1.8690796741006e-15,8.72906e-13
0.118328,8.73298e-07,1.869855819648989e-23,1.8698558196489888e-15,8.73298e-13
0.11833,8.73691e-07,1.870634052727167e-23,1.870634052727167e-15,8.73691e-13
0.118332,8.74085e-07,1.871414373122111e-23,1.871414373122111e-15,8.74085e-13
0.118334,8.74477e-07,1.872190357843464e-23,1.872190357843464e-15,8.744769999999999e-13
0.118336,8.74871e-07,1.8729705707432205e-23,1.8729705707432202e-15,8.74871e-13
0.118338,8.75265e-07,1.8737507298291877e-23,1.8737507298291875e-15,8.75265e-13
0.11834,8.75659e-07,1.874530835105487e-23,1.874530835105487e-15,8.75659e-13
0.118342,8.76053e-07,1.875310886576237e-23,1.8753108865762367e-15,8.76053e-13
0.118344,8.76447e-07,1.876090884245557e-23,1.8760908842455566e-15,8.76447e-13
0.118346,8.76841e-07,1.8768708281175653e-23,1.8768708281175652e-15,8.768409999999999e-13
0.118348,8.77236e-07,1.8776528586156726e-23,1.8776528586156725e-15,8.772359999999999e-13
0.11835,8.7763e-07,1.8784326948330707e-23,1.8784326948330703e-15,8.776299999999999e-13
0.118352,8.78026e-07,1.8792167578147417e-23,1.8792167578147413e-15,8.78026e-13
0.118354,8.7842e-07,1.8799964863216798e-23,1.8799964863216797e-15,8.784199999999999e-13
0.118356,8.78815e-07,1.8807783011818544e-23,1.880778301181854e-15,8.78815e-13
0.118358,8.79211e-07,1.8815622021823996e-23,1.8815622021823992e-15,8.792109999999999e-13
0.11836,8.79606e-07,1.8823439091398774e-23,1.882343909139877e-15,8.796059999999999e-13
0.118362,8.80002e-07,1.883127702101343e-23,1.8831277021013427e-15,8.800019999999999e-13
0.118364,8.80397e-07,1.883909301172645e-23,1.883909301172645e-15,8.803969999999999e-13
0.118366,8.80794e-07,1.884695125879914e-23,1.8846951258799137e-15,8.80794e-13
0.118368,8.8119e-07,1.8854787567052942e-23,1.885478756705294e-15,8.811899999999999e-13
0.11837,8.81587e-07,1.886264473117325e-23,1.8862644731173247e-15,8.81587e-13
0.118372,8.81982e-07,1.887045856248925e-23,1.8870458562489247e-15,8.81982e-13
0.118374,8.82379e-07,1.8878314644545865e-23,1.887831464454586e-15,8.82379e-13
0.118376,8.82776e-07,1.8886170184909786e-23,1.888617018490978e-15,8.82776e-13
0.118378,8.83173e-07,1.889402518362246e-23,1.8894025183622457e-15,8.831729999999999e-13
0.11838,8.8357e-07,1.8901879640725347e-23,1.8901879640725343e-15,8.835699999999999e-13
0.118382,8.83967e-07,1.890973355625989e-23,1.8909733556259886e-15,8.839669999999999e-13
0.118384,8.84364e-07,1.891758693026753e-23,1.891758693026753e-15,8.84364e-13
0.118386,8.84763e-07,1.8925482543698377e-23,1.8925482543698373e-15,8.84763e-13
0.118388,8.8516e-07,1.893333483333112e-23,1.8933334833331118e-15,8.851599999999999e-13
0.11839,8.85558e-07,1.894120797057028e-23,1.8941207970570277e-15,8.85558e-13
0.118392,8.85957e-07,1.8949101953289343e-23,1.894910195328934e-15,8.85957e-13
0.118394,8.86355e-07,1.8956974004234688e-23,1.8956974004234685e-15,8.86355e-13
0.118396,8.86754e-07,1.8964866899297875e-23,1.896486689929787e-15,8.86754e-13
0.118398,8.87153e-07,1.897275925023426e-23,1.897275925023426e-15,8.87153e-13
0.1184,8.87551e-07,1.8980629671689394e-23,1.898062967168939e-15,8.87551e-13
0.118402,8.8795e-07,1.8988520935219528e-23,1.8988520935219524e-15,8.8795e-13
0.118404,8.88348e-07,1.8996390270796526e-23,1.8996390270796523e-15,8.883479999999999e-13
0.118406,8.88748e-07,1.9004301830315578e-23,1.9004301830315577e-15,8.88748e-13
0.118408,8.89148e-07,1.901221284447118e-23,1.9012212844471177e-15,8.89148e-13
0.11841,8.89547e-07,1.9020101931520926e-23,1.9020101931520924e-15,8.89547e-13
0.118412,8.89947e-07,1.902801185579709e-23,1.902801185579709e-15,8.899469999999999e-13
0.118414,8.90347e-07,1.9035921234834943e-23,1.903592123483494e-15,8.903469999999999e-13
0.118416,8.90747e-07,1.9043830068676205e-23,1.90438300686762e-15,8.90747e-13
0.118418,8.91147e-07,1.905173835736255e-23,1.9051738357362548e-15,8.911469999999999e-13
0.11842,8.91549e-07,1.9059688857281948e-23,1.9059688857281946e-15,8.91549e-13
0.118422,8.91949e-07,1.9067596054339452e-23,1.906759605433945e-15,8.919489999999999e-13
0.118424,8.92349e-07,1.9075502706367252e-23,1.907550270636725e-15,8.92349e-13
0.118426,8.9275e-07,1.908343018941397e-23,1.9083430189413968e-15,8.9275e-13
0.118428,8.93152e-07,1.9091378501355346e-23,1.9091378501355343e-15,8.93152e-13
0.11843,8.93554e-07,1.9099326265504325e-23,1.909932626550432e-15,8.93554e-13
0.118432,8.93954e-07,1.910723073422065e-23,1.9107230734220647e-15,8.93954e-13
0.118434,8.94355e-07,1.9115156031235094e-23,1.911515603123509e-15,8.94355e-13
0.118436,8.94758e-07,1.91231235268212e-23,1.9123123526821197e-15,8.94758e-13
0.118438,8.9516e-07,1.913106910166321e-23,1.913106910166321e-15,8.951599999999999e-13
0.11844,8.95562e-07,1.9139014128922248e-23,1.9139014128922247e-15,8.955619999999999e-13
0.118442,8.95965e-07,1.9146979978872257e-23,1.9146979978872255e-15,8.959649999999999e-13
0.118444,8.96366e-07,1.9154902540858907e-23,1.9154902540858903e-15,8.96366e-13
0.118446,8.96769e-07,1.9162867294409007e-23,1.9162867294409004e-15,8.96769e-13
0.118448,8.97173e-07,1.9170852867167505e-23,1.91708528671675e-15,8.971729999999999e-13
0.11845,8.97576e-07,1.9178816522320584e-23,1.9178816522320583e-15,8.975759999999999e-13
0.118452,8.97979e-07,1.9186779628698954e-23,1.918677962869895e-15,8.979789999999999e-13
0.118454,8.98382e-07,1.9194742186344577e-23,1.9194742186344574e-15,8.983819999999999e-13
0.118456,8.98785e-07,1.920270419529942e-23,1.9202704195299417e-15,8.98785e-13
0.118458,8.9919e-07,1.9210708384524565e-23,1.921070838452456e-15,8.9919e-13
0.11846,8.99593e-07,1.9218669294780947e-23,1.9218669294780943e-15,8.995929999999999e-13
0.118462,8.99997e-07,1.9226651019489295e-23,1.9226651019489292e-15,8.99997e-13
0.118464,9.00401e-07,1.9234632194232114e-23,1.923463219423211e-15,9.00401e-13
0.118466,9.00805e-07,1.9242612819051475e-23,1.9242612819051472e-15,9.00805e-13
0.118468,9.0121e-07,1.9250614254842333e-23,1.925061425484233e-15,9.0121e-13
0.11847,9.01615e-07,1.9258615139351398e-23,1.9258615139351394e-15,9.016149999999999e-13
0.118472,9.02019e-07,1.9266594113210317e-23,1.9266594113210313e-15,9.02019e-13
0.118474,9.02424e-07,1.92745938960034e-23,1.92745938960034e-15,9.024239999999999e-13
0.118476,9.0283e-07,1.928261448560938e-23,1.9282614485609375e-15,9.0283e-13
0.118478,9.03235e-07,1.9290613165412792e-23,1.9290613165412788e-15,9.032349999999999e-13
0.11848,9.03641e-07,1.929863265067131e-23,1.929863265067131e-15,9.036409999999999e-13
0.118482,9.04045e-07,1.9306608871848606e-23,1.9306608871848603e-15,9.04045e-13
0.118484,9.04452e-07,1.9314648608733663e-23,1.931464860873366e-15,9.04452e-13
0.118486,9.04858e-07,1.9322666437427114e-23,1.932266643742711e-15,9.04858e-13
0.118488,9.05264e-07,1.9330683713776328e-23,1.9330683713776327e-15,9.052639999999999e-13
0.11849,9.0567e-07,1.933870043782354e-23,1.9338700437823537e-15,9.056699999999999e-13
0.118492,9.06076e-07,1.9346716609610994e-23,1.9346716609610993e-15,9.060759999999999e-13
0.118494,9.06484e-07,1.9354774932140766e-23,1.9354774932140762e-15,9.06484e-13
0.118496,9.0689e-07,1.9362789998093868e-23,1.9362789998093865e-15,9.0689e-13
0.118498,9.07298e-07,1.93708472119909e-23,1.9370847211990897e-15,9.07298e-13
0.1185,9.07706e-07,1.9378903870914422e-23,1.9378903870914418e-15,9.077059999999999e-13
0.118502,9.08112e-07,1.938691727771253e-23,1.938691727771253e-15,9.08112e-13
0.118504,9.0852e-07,1.9394972828257532e-23,1.9394972828257528e-15,9.0852e-13
0.118506,9.08927e-07,1.9403006476800214e-23,1.940300647680021e-15,9.089269999999999e-13
0.118508,9.09335e-07,1.9411060918415562e-23,1.941106091841556e-15,9.09335e-13
0.11851,9.09744e-07,1.9419136150984393e-23,1.941913615098439e-15,9.09744e-13
0.118512,9.10152e-07,1.942718948239868e-23,1.9427189482398675e-15,9.10152e-13
0.118514,9.1056e-07,1.9435242259136308e-23,1.9435242259136304e-15,9.1056e-13
0.118516,9.10969e-07,1.9443315824793432e-23,1.9443315824793428e-15,9.10969e-13
0.118518,9.11378e-07,1.945138883441802e-23,1.9451388834418018e-15,9.11378e-13
0.11852,9.11786e-07,1.945943994593946e-23,1.9459439945939456e-15,9.11786e-13
0.118522,9.12195e-07,1.9467511844346735e-23,1.9467511844346732e-15,9.12195e-13
0.118524,9.12604e-07,1.9475583186848925e-23,1.9475583186848923e-15,9.126039999999999e-13
0.118526,9.13015e-07,1.9483696653393363e-23,1.948369665339336e-15,9.13015e-13
0.118528,9.13424e-07,1.9491766882772548e-23,1.9491766882772545e-15,9.13424e-13
0.11853,9.13833e-07,1.949983655637418e-23,1.9499836556374177e-15,9.138329999999999e-13
0.118532,9.14244e-07,1.9507948349824845e-23,1.9507948349824843e-15,9.14244e-13
0.118534,9.14653e-07,1.9516016910558725e-23,1.9516016910558723e-15,9.146529999999999e-13
0.118536,9.15064e-07,1.952412758834652e-23,1.9524127588346517e-15,9.15064e-13
0.118538,9.15475e-07,1.953223770764683e-23,1.9532237707646826e-15,9.15475e-13
0.11854,9.15886e-07,1.9540347268502343e-23,1.954034726850234e-15,9.15886e-13
0.118542,9.16296e-07,1.9548434936763577e-23,1.9548434936763575e-15,9.16296e-13
0.118544,9.16707e-07,1.9556543381577378e-23,1.9556543381577374e-15,9.16707e-13
0.118546,9.17118e-07,1.9564651268074382e-23,1.956465126807438e-15,9.17118e-13
0.118548,9.17529e-07,1.9572758596297231e-23,1.957275859629723e-15,9.175289999999999e-13
0.11855,9.17941e-07,1.9580886697601507e-23,1.9580886697601505e-15,9.17941e-13
0.118552,9.18352e-07,1.9588992908684336e-23,1.9588992908684334e-15,9.18352e-13
0.118554,9.18764e-07,1.9597119891494526e-23,1.9597119891494522e-15,9.18764e-13
0.118556,9.19176e-07,1.9605246314761963e-23,1.960524631476196e-15,9.19176e-13
0.118558,9.19589e-07,1.96133935069636e-23,1.9613393506963596e-15,9.19589e-13
0.11856,9.20001e-07,1.9621518810554173e-23,1.962151881055417e-15,9.200009999999999e-13
0.118562,9.20413e-07,1.9629643554730263e-23,1.962964355473026e-15,9.20413e-13
0.118564,9.20825e-07,1.9637767739534626e-23,1.9637767739534623e-15,9.20825e-13
0.118566,9.21239e-07,1.964593401612229e-23,1.9645934016122286e-15,9.212389999999998e-13
0.118568,9.21651e-07,1.9654057080872565e-23,1.965405708087256e-15,9.21651e-13
0.11857,9.22065e-07,1.9662222234614033e-23,1.966222223461403e-15,9.22065e-13
0.118572,9.22479e-07,1.9670386826277352e-23,1.9670386826277347e-15,9.22479e-13
0.118574,9.22891e-07,1.96785082105482e-23,1.96785082105482e-15,9.228909999999999e-13
0.118576,9.23305e-07,1.9686671679622646e-23,1.9686671679622644e-15,9.23305e-13
0.118578,9.23719e-07,1.96948345867477e-23,1.9694834586747697e-15,9.23719e-13
0.11858,9.24134e-07,1.970301825248718e-23,1.9703018252487177e-15,9.24134e-13
0.118582,9.24548e-07,1.9711180035123063e-23,1.971118003512306e-15,9.24548e-13
0.118584,9.24962e-07,1.9719341255938403e-23,1.97193412559384e-15,9.24962e-13
0.118586,9.25377e-07,1.9727523233339556e-23,1.9727523233339553e-15,9.25377e-13
0.118588,9.25791e-07,1.9735683329923444e-23,1.973568332992344e-15,9.25791e-13
0.11859,9.26206e-07,1.9743864181740934e-23,1.974386418174093e-15,9.262059999999999e-13
0.118592,9.26622e-07,1.9752065786677955e-23,1.9752065786677952e-15,9.266219999999999e-13
0.118594,9.27037e-07,1.97602455116458e-23,1.9760245511645797e-15,9.27037e-13
0.118596,9.27452e-07,1.9768424673612868e-23,1.9768424673612866e-15,9.27452e-13
0.118598,9.27868e-07,1.9776624586671758e-23,1.9776624586671755e-15,9.27868e-13
0.1186,9.28283e-07,1.9784802622047418e-23,1.9784802622047417e-15,9.28283e-13
0.118602,9.287e-07,1.9793022719775238e-23,1.9793022719775236e-15,9.286999999999999e-13
0.118604,9.29115e-07,1.9801199628012865e-23,1.9801199628012864e-15,9.29115e-13
0.118606,9.29532e-07,1.9809418595813685e-23,1.9809418595813683e-15,9.29532e-13
0.118608,9.29949e-07,1.9817636997996995e-23,1.9817636997996993e-15,9.29949e-13
0.11861,9.30366e-07,1.9825854834606022e-23,1.982585483460602e-15,9.30366e-13
0.118612,9.30783e-07,1.9834072105683943e-23,1.983407210568394e-15,9.30783e-13
0.118614,9.312e-07,1.9842288811273958e-23,1.9842288811273955e-15,9.312e-13
